Сортировка по позиции в рейтинге на дату: 01 Декабря 2016 г. (обновление по состоянию на 15 Декабря 2016 г.)
(A (2)) РУБЛЕВ
(A (2)) СОЛИДАРНОСТЬ
(A (3)) ГОРБАНК
(A (3)) ИНТЕХБАНК
(A (3)) РОСКОМСНАББАНК
(A (3)) РСБ 24
(A (3)) СОЦИНВЕСТБАНК
(B++ (1)) БАНК РАЗВИТИЯ ТЕХНОЛОГИЙ
(B++ (1)) ПИР БАНК
(B++ (1)) ТРАНСНАЦИОНАЛЬНЫЙ БАНК
(B++ (2)) ВЕНЕЦ
(B++ (2)) ЕВРАЗИЙСКИЙ БАНК
(B++ (2)) ИНВЕСТИЦИОННЫЙ СОЮЗ
(B++ (2)) ИТ БАНК
(B++ (2)) СТАРБАНК
(B++ (2)) УГЛЕМЕТБАНК
(B++ (3)) АЛТАЙКАПИТАЛБАНК
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) МТЕМПБАНК
(B++ (3)) ЭЛИТА
(B+) РИТЦ БАНК
(B+) ТРАСТ КАПИТАЛ БАНК
Сортировка по позиции в рейтинге на дату: 01 Февраля 2015 г. (дата не точная обычно рейтинг обновляется 12-15 числа каждого месяца)
(A+) БАЛТИНВЕСТБАНК
(A+) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(A+) ОБРАЗОВАНИЕ
(A+) ТАТФОНДБАНК
(A (1)) БФГ-КРЕДИТ
(A (1)) ЛИПЕЦККОМБАНК
(A (1)) ПРИМОРЬЕ
(A (2)) АЛЕФ-БАНК
(A (2)) ДАТАБАНК
(A (2)) РУБЛЕВ
(A (2)) СОЛИДАРНОСТЬ
(A (3)) ГОРБАНК
(A (3)) ИНТЕХБАНК
(A (3)) РОСКОМСНАББАНК
(A (3)) РСБ 24
(A (3)) СОЦИНВЕСТБАНК
(B++ (1)) БАНК РАЗВИТИЯ ТЕХНОЛОГИЙ
(B++ (1)) ПИР БАНК
(B++ (1)) ТРАНСНАЦИОНАЛЬНЫЙ БАНК
(B++ (2)) ВЕНЕЦ
(B++ (2)) ЕВРАЗИЙСКИЙ БАНК
(B++ (2)) ИНВЕСТИЦИОННЫЙ СОЮЗ
(B++ (2)) ИТ БАНК
(B++ (2)) СТАРБАНК
(B++ (2)) УГЛЕМЕТБАНК
(B++ (3)) АЛТАЙКАПИТАЛБАНК
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) МТЕМПБАНК
(B++ (3)) ЭЛИТА
(B+) ТРАСТ КАПИТАЛ БАНК
Сортировка по позиции в рейтинге на дату: 01 Января 2015 г. (дата не точная  обычно рейтинг обновляется 12-15 числа каждого месяца)
(A+) БАЛТИНВЕСТБАНК
(A+) НАЦИОНАЛЬНЫЙ СТАНДАРТ
(A+) ОБРАЗОВАНИЕ
(A+) ТАТФОНДБАНК
(A (1)) БФГ-КРЕДИТ
(A (1)) ЛИПЕЦККОМБАНК
(A (1)) ПРИМОРЬЕ
(A (2)) АЛЕФ-БАНК
(A (2)) ДАТАБАНК
(A (2)) РУБЛЕВ
(A (2)) СОЛИДАРНОСТЬ
(A (3)) ГОРБАНК
(A (3)) ИНТЕХБАНК
(A (3)) РОСКОМСНАББАНК
(A (3)) РСБ 24
(A (3)) СОЦИНВЕСТБАНК
(B++ (1)) БАНК РАЗВИТИЯ ТЕХНОЛОГИЙ
(B++ (1)) ПИР БАНК
(B++ (1)) ТРАНСНАЦИОНАЛЬНЫЙ БАНК
(B++ (2)) ВЕНЕЦ
(B++ (2)) ЕВРАЗИЙСКИЙ БАНК
(B++ (2)) ИНВЕСТИЦИОННЫЙ СОЮЗ
(B++ (2)) ИТ БАНК
(B++ (2)) СТАРБАНК
(B++ (2)) УГЛЕМЕТБАНК
(B++ (3)) АЛТАЙКАПИТАЛБАНК
(B++ (3)) КУЗНЕЦКИЙ
(B++ (3)) МТЕМПБАНК
(B++ (3)) ЭЛИТА
(B+) ТРАСТ КАПИТАЛ БАНК
